fecha	EQ_1	EQ_2	EQ_3	EQ_4	EQ_5	TCR
1990Q1	79,67		106,30	88,04		87,08
1990Q2	80,86		106,11	88,79		91,96
1990Q3	82,07		105,91	89,54		95,06
1990Q4	83,29		105,72	90,31		96,06
1991Q1	84,51	112,53	105,53	91,08	99,17	90,83
1991Q2	85,74	110,89	105,36	91,86	98,80	89,47
1991Q3	86,97	109,33	105,21	92,65	98,45	91,62
1991Q4	88,21	107,88	105,08	93,46	98,13	92,60
1992Q1	89,44	106,55	105,00	94,28	97,87	91,07
1992Q2	90,66	105,37	104,97	95,13	97,66	92,60
1992Q3	91,87	104,34	105,00	95,98	97,51	96,88
1992Q4	93,06	103,46	105,09	96,83	97,43	94,45
1993Q1	94,20	102,74	105,23	97,67	97,41	93,56
1993Q2	95,27	102,16	105,40	98,47	97,45	96,49
1993Q3	96,25	101,71	105,56	99,21	97,54	95,45
1993Q4	97,11	101,37	105,67	99,86	97,66	96,00
1994Q1	97,84	101,13	105,69	100,39	97,80	98,18
1994Q2	98,41	100,96	105,59	100,79	97,96	102,36
1994Q3	98,81	100,85	105,36	101,03	98,13	104,38
1994Q4	99,04	100,78	104,99	101,11	98,30	104,95
1995Q1	99,11	100,74	104,48	101,03	98,46	105,73
1995Q2	99,03	100,72	103,83	100,80	98,61	107,49
1995Q3	98,82	100,69	103,05	100,42	98,74	106,36
1995Q4	98,48	100,67	102,17	99,91	98,86	102,63
1996Q1	98,05	100,65	101,20	99,29	98,97	98,98
1996Q2	97,54	100,64	100,17	98,59	99,07	99,74
1996Q3	96,99	100,62	99,12	97,83	99,16	99,51
1996Q4	96,42	100,61	98,07	97,04	99,26	100,16
1997Q1	95,87	100,62	97,06	96,26	99,36	98,83
1997Q2	95,37	100,64	96,13	95,50	99,47	98,20
1997Q3	94,94	100,69	95,30	94,81	99,60	96,55
1997Q4	94,60	100,77	94,59	94,21	99,77	96,41
1998Q1	94,38	100,89	94,02	93,72	99,98	92,80
1998Q2	94,28	101,05	93,61	93,36	100,23	93,34
1998Q3	94,31	101,26	93,37	93,14	100,52	93,10
1998Q4	94,48	101,50	93,29	93,07	100,85	95,74
1999Q1	94,76	101,77	93,36	93,13	101,21	93,24
1999Q2	95,16	102,07	93,60	93,32	101,59	94,68
1999Q3	95,67	102,37	93,98	93,65	101,98	94,32
1999Q4	96,28	102,66	94,50	94,10	102,37	94,34
2000Q1	96,99	102,93	95,17	94,67	102,76	95,42
2000Q2	97,79	103,18	95,96	95,35	103,12	95,48
2000Q3	98,68	103,41	96,87	96,14	103,46	94,71
2000Q4	99,63	103,60	97,89	97,01	103,77	94,48
2001Q1	100,63	103,76	99,00	97,97	104,05	96,80
2001Q2	101,67	103,90	100,20	98,99	104,32	95,99
2001Q3	102,73	104,02	101,46	100,07	104,56	96,00
2001Q4	103,80	104,14	102,77	101,19	104,80	98,35
2002Q1	104,87	104,24	104,12	102,34	105,03	93,89
2002Q2	105,90	104,35	105,47	103,50	105,27	92,30
2002Q3	106,91	104,46	106,82	104,67	105,52	89,05
2002Q4	107,89	104,58	108,14	105,84	105,79	89,10
2003Q1	108,82	104,71	109,40	106,98	106,07	94,10
2003Q2	109,69	104,84	110,57	108,09	106,37	100,74
2003Q3	110,49	104,98	111,61	109,13	106,66	101,21
2003Q4	111,22	105,10	112,52	110,10	106,97	103,41
2004Q1	111,86	105,23	113,27	110,97	107,28	105,23
2004Q2	112,41	105,36	113,85	111,75	107,59	104,87
2004Q3	112,87	105,48	114,26	112,41	107,91	105,84
2004Q4	113,21	105,59	114,47	112,93	108,22	109,64
2005Q1	113,43	105,69	114,48	113,30	108,50	111,24
2005Q2	113,49	105,76	114,26	113,49	108,75	112,66
2005Q3	113,40	105,79	113,82	113,50	108,95	113,10
2005Q4	113,14	105,78	113,18	113,33	109,07	112,57
2006Q1	112,72	105,70	112,35	112,97	109,10	113,07
2006Q2	112,14	105,53	111,35	112,43	109,01	114,22
2006Q3	111,41	105,28	110,21	111,71	108,79	113,36
2006Q4	110,54	104,92	108,94	110,83	108,42	113,24
2007Q1	109,53	104,47	107,58	109,79	107,91	111,07
2007Q2	108,41	103,92	106,14	108,62	107,27	113,30
2007Q3	107,17	103,30	104,65	107,33	106,52	109,06
2007Q4	105,84	102,62	103,12	105,94	105,66	109,03
2008Q1	104,42	101,88	101,57	104,47	104,73	107,10
2008Q2	102,95	101,10	100,03	102,96	103,74	103,05
2008Q3	101,46	100,31	98,53	101,42	102,72	96,83
2008Q4	99,96	99,52	97,10	99,90	101,68	85,21
2009Q1	98,50	98,74	95,73	98,43	100,64	83,49
2009Q2	97,08	97,97	94,45	97,00	99,61	88,05
2009Q3	95,70	97,20	93,22	95,62	98,59	91,25
2009Q4	94,36	96,42	92,03	94,26	97,56	94,02
2010Q1	93,04	95,62	90,86	92,92	96,52	93,00
2010Q2	91,74	94,78	89,69	91,59	95,46	92,79
2010Q3	90,47	93,89	88,49	90,26	94,35	93,58
2010Q4	89,22	92,91	87,25	88,93	93,19	92,97
2011Q1	87,99	91,85	85,95	87,60	91,96	89,80
2011Q2	86,80	90,70	84,62	86,29	90,65	91,13
2011Q3	85,64	89,44	83,25	84,98	89,25	90,63
2011Q4	84,52	88,08	81,87	83,71	87,77	87,65
2012Q1	83,44	86,61	80,47	82,45	86,18	87,79
2012Q2	82,36	85,03	79,03	81,20	84,48	85,93
2012Q3	81,26	83,33	77,55	79,94	82,67	85,15
2012Q4	80,13	81,52	76,02	78,66	80,74	84,94
2013Q1	78,93	79,60	74,46	77,35	78,71	83,86
2013Q2	77,67	77,60	72,87	76,01	76,60	82,05
2013Q3	76,34	75,54	71,28	74,66	74,44	79,04
2013Q4	74,96	73,46	69,69	73,30	72,25	78,02
2014Q1	73,52	71,37	68,14	71,93	70,08	76,49
2014Q2	72,06	69,30	66,64	70,59	67,95	77,28
2014Q3	70,59	67,30	65,21	69,30	65,90	75,55
2014Q4	69,14	65,39	63,87	68,07	63,96	72,33
2015Q1	67,76	63,60	62,65	66,94	62,19	68,23
2015Q2	66,49	61,96	61,57	65,93	60,62	68,20
2015Q3	65,36	60,49	60,65	65,08	59,31	65,05
2015Q4	64,42	59,24	59,91	64,42	58,29	63,10
2016Q1	63,73	58,22	59,40	64,00	57,65	61,27
2016Q2	63,19	57,37	59,03	63,74	57,27	63,33
2016Q3	62,74	56,65	58,75	63,56	57,07	64,08
2016Q4	62,34	56,01	58,52	63,44	56,99	62,45
2017Q1	61,96	55,42	58,32	63,34	56,97	63,16
2017Q2	61,61	54,87	58,14	63,27	56,99	64,18
2017Q3	61,25	54,33	57,97	63,20	57,02	64,20